Name,PID,CommandLine
System Idle Process,0,
System,4,
Registry,96,
smss.exe,440,
csrss.exe,632,
wininit.exe,700,
csrss.exe,716,
winlogon.exe,768,winlogon.exe
services.exe,832,
lsass.exe,852,
fontdrvhost.exe,968,"""fontdrvhost.exe"""
fontdrvhost.exe,972,"""fontdrvhost.exe"""
svchost.exe,984,C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p
svchost.exe,556,C:\WINDOWS\system32\svchost.exe -k RPCSS -p
svchost.exe,916,C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p -s LSM
LogonUI.exe,1036,"""LogonUI.exe"" /flags:0x2 /state0:0xa3bcf055 /state1:0x41c64e6d"
dwm.exe,1044,"""dwm.exe"""
svchost.exe,1236,C:\WINDOWS\system32\svchost.exe -k appmodel -p -s StateRepository
svchost.exe,1288,C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s BDESVC
svchost.exe,1308,C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p
svchost.exe,1344,C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts
svchost.exe,1492,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule
svchost.exe,1508,C:\WINDOWS\system32\svchost.exe -k UserProfileService -p -s ProfSvc
svchost.exe,1516,C:\WINDOWS\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc
svchost.exe,1532,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
svchost.exe,1568,C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
svchost.exe,1744,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UserManager
svchost.exe,1776,C:\WINDOWS\system32\svchost.exe -k LocalService -p -s nsi
svchost.exe,1856,C:\WINDOWS\System32\svchost.exe -k netprofm -p -s netprofm
svchost.exe,1964,C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
svchost.exe,1660,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain
svchost.exe,1732,C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s Themes
svchost.exe,1888,C:\WINDOWS\system32\svchost.exe -k LocalServiceRedirectionGuard -p -s EventSystem
svchost.exe,2076,C:\WINDOWS\system32\svchost.exe -k NetworkService -p
Memory Compression,2108,
svchost.exe,2128,C:\WINDOWS\system32\svchost.exe -k netsvcsRedirectionGuard -p -s SENS
svchost.exe,2212,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder
svchost.exe,2232,C:\WINDOWS\system32\svchost.exe -k LocalService -p -s FontCache
svchost.exe,2240,C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
svchost.exe,2356,C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p
svchost.exe,2384,C:\WINDOWS\system32\svchost.exe -k LocalServiceHttp -p
svchost.exe,2424,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TextInputManagementService
svchost.exe,2500,C:\WINDOWS\System32\svchost.exe -k NetworkService -s TermService
svchost.exe,2540,C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc
svchost.exe,2548,C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Wcmsvc
svchost.exe,2632,C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s ShellHWDetection
spoolsv.exe,2732,C:\WINDOWS\System32\spoolsv.exe
svchost.exe,2776,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s UmRdpService
svchost.exe,2820,C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
svchost.exe,2848,C:\WINDOWS\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation
svchost.exe,2948,C:\WINDOWS\system32\svchost.exe -k NetworkService -p
svchost.exe,2084,C:\WINDOWS\system32\svchost.exe -k netsvcs -s CertPropSvc
svchost.exe,3080,C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s SessionEnv
svchost.exe,3116,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s LanmanServer
svchost.exe,3172,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Winmgmt
svchost.exe,3204,C:\WINDOWS\system32\svchost.exe -k osprivacy -p -s camsvc
svchost.exe,3252,C:\WINDOWS\System32\svchost.exe -k utcsvc -p
svchost.exe,3312,C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS
svchost.exe,3356,C:\WINDOWS\System32\svchost.exe -k NetSvcs -p -s iphlpsvc
IpOverUsbSvc.exe,3444,"""C:\Program Files (x86)\Common Files\Microsoft Shared\Phone Tools\CoreCon\11.0\bin\IpOverUsbSvc.exe"""
MpDefenderCoreService.exe,3480,
cowork-svc.exe,3520,"""C:\Program Files\WindowsApps\Claude_1.30096.5.0_x64__pzs8sxrjxfjjc\app\resources\cowork-svc.exe"""
blnsvr.exe,3544,"""C:\Program Files\Virtio-Win\Balloon\blnsvr.exe"""
qemu-ga.exe,3552,"""C:\Program Files\Qemu-ga\qemu-ga.exe"" -d --retry-path"
sshd.exe,3588,C:\WINDOWS\System32\OpenSSH\sshd.exe
svchost.exe,3612,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks
MsMpEng.exe,3656,
svchost.exe,3664,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s WpnService
svchost.exe,3860,C:\WINDOWS\system32\svchost.exe -k WSAIFabricSvcGroup -p -s WSAIFabricSvc
AggregatorHost.exe,4572,AggregatorHost.exe
WmiPrvSE.exe,4688,C:\WINDOWS\system32\wbem\wmiprvse.exe
svchost.exe,3076,C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonationRedirectionGuard -p -s SSDPSRV
svchost.exe,5032,C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc
svchost.exe,5628,C:\WINDOWS\System32\svchost.exe -k LocalService -p -s LicenseManager
svchost.exe,5688,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s TokenBroker
svchost.exe,5760,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc
WmiPrvSE.exe,6104,C:\WINDOWS\system32\wbem\wmiprvse.exe
NisSrv.exe,4056,
svchost.exe,4324,C:\WINDOWS\system32\svchost.exe -k LocalService -p -s CDPSvc
svchost.exe,6088,
svchost.exe,3352,C:\WINDOWS\system32\svchost.exe -k InvSvcGroup -p -s InventorySvc
svchost.exe,4656,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p
