EventType,TimeCreated,ProcessGuid,PID,Image,ParentPID,ParentImage,CommandLine,Protocol,SourceIp,SourcePort,DestinationIp,DestinationPort,DestinationHostname,Initiated,QueryName,QueryStatus,QueryResults,InInitialCapture,InSessionBaseline,BaselineProcessName
ProcessTerminate,2026-08-28T16:29:25.1034633Z,{0174764e-b6ed-6a91-6a45-000000000e00},4940,C:\Windows\System32\conhost.exe,,,,,,,,,,,,,,No,No,
ProcessTerminate,2026-08-28T16:29:25.1016023Z,{0174764e-b6ed-6a91-6945-000000000e00},8820,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,,,,,,,,,,,,,,No,No,
ProcessTerminate,2026-08-28T16:29:25.1002791Z,{0174764e-b6ed-6a91-6845-000000000e00},7388,C:\Windows\System32\conhost.exe,,,,,,,,,,,,,,No,No,
ProcessTerminate,2026-08-28T16:29:25.0985059Z,{0174764e-b6ed-6a91-6745-000000000e00},13708,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,,,,,,,,,,,,,,No,No,
ProcessTerminate,2026-08-28T16:29:25.0757101Z,{0174764e-b6ed-6a91-6645-000000000e00},10768,C:\Windows\System32\conhost.exe,,,,,,,,,,,,,,No,No,
ProcessTerminate,2026-08-28T16:29:25.0734934Z,{0174764e-b6ed-6a91-6545-000000000e00},7592,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,,,,,,,,,,,,,,No,No,
DnsQuery,2026-08-28T16:29:12.2023374Z,{0174764e-b6ed-6a91-6745-000000000e00},13708,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,,,,,,,,,,,api.weather.gov,0,type: 5 sancert.weather.gov.edgekey.net;type: 5 e353369.dscg.akamaiedge.net;::ffff:23.216.149.213;::ffff:23.216.149.214;::ffff:23.216.149.218;::ffff:23.216.149.210;::ffff:23.216.149.208;,No,No,
DnsQuery,2026-08-28T16:28:57.1950009Z,{0174764e-b6ed-6a91-6745-000000000e00},13708,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,,,,,,,,,,,api.weather.gov,0,type: 5 sancert.weather.gov.edgekey.net;type: 5 e353369.dscg.akamaiedge.net;::ffff:23.216.149.214;::ffff:23.216.149.218;::ffff:23.216.149.210;::ffff:23.216.149.208;::ffff:23.216.149.213;,No,No,
DnsQuery,2026-08-28T16:28:42.2033213Z,{0174764e-b6ed-6a91-6745-000000000e00},13708,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,,,,,,,,,,,api.weather.gov,0,type: 5 sancert.weather.gov.edgekey.net;type: 5 e353369.dscg.akamaiedge.net;::ffff:23.216.149.208;::ffff:23.216.149.213;::ffff:23.216.149.214;::ffff:23.216.149.212;::ffff:23.216.149.217;,No,No,
ProcessTerminate,2026-08-28T16:28:35.7334709Z,{0174764e-b6ec-6a91-6445-000000000e00},6520,C:\Windows\System32\wbem\WmiPrvSE.exe,,,,,,,,,,,,,,No,Yes,WmiPrvSE.exe
